이름,견종,세부견종,색상,출생연도,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소
로렌,말티즈,말티즈,Unknown,2019.05,7.16,https://cafethumb.pstatic.net/MjAyMzA1MDFfMTg4/MDAxNjgyOTE1MzYxNTAz.MLRq8Utg29dYu7wAyUD__M47UcXr_LcN4J_8PL5Wl3Yg.p5mwZ_ciJDwzrU6tKn0rocxqL7yIgnFSx1jSQvZim2Mg.JPEG/P1010074.JPG?type=f200_200,Y,F,U,동물등록이 되어 있었지만 한달이 넘도록 연락이 되지 않아 입양 가지도 못했던 말티즈 로렌입니다.  시보호소는 홍역이나 파보장염 등 치사율이 높은 질병이 자주 발생하는 곳이기도 합니다.  그런 곳에 찾지도 그렇다고 다른 가족을 찾을 수 있도록 연락도 되지 않는 전 보호자때문에  한달동안 지낼 수 밖에 없었습니다.  로렌은 입양신청자가 다소 있었지만 (신청서가 있다고 다 입양가지는 않아요 많은 분들께서 입양신청 후 취소를 하기도 합니다.)  심한 호흡기 감염과 유선종양이 있어 아이의 건강을 위한 빠른 치료를 위해 센터로 입소했어요.  다행히 양성으로 수술 후 건강한 상태입니다.  외이염 또한 심해 귀치료를 하고 있고 입양후 꾸준히 귀청소를 통해 관리해주시면 좋을 듯합니다. (호흡기 치료 완료)  귀여운 외모와 애교 만점의 활발하고 앙증맞은 외모의 로렌은 사람을 좋아하는 말티즈 아이입니다.  다른 강아지들에게도 호감이 있어 들이대며 친해지기 위해 노력하는 모습도 보이곤 해요.  패드 배변 훈련중이며 순한 친구예요.  어린 자녀를 지닌 가정 또는 처음 반려견을 맞이 하는 가족 등 어느 가족과도 적합합니다.  커다란 두눈으로 지긋히 바라보면 빙그레 웃음이 지어지는 아이입니다.  털빠짐이 적은 견종이예요.  사랑스러운 로렌의 평생 가족을 기다립니다.,서울특별시 마포구
누나,믹스,믹스,Black,2021.04,7.16,https://cafethumb.pstatic.net/MjAyMzA0MTRfMjE4/MDAxNjgxNDcxMzQ3MTY3.J0jXZhEGMpf2smN_pTJhc5P4fA_A1PxnhoLMCcCfYLAg.0XXKLXpXgnNAoH3aHW7Jf35ZtWarlT3Fqs2a0L223Ycg.JPEG/P1010061.JPG?type=f200_200,Y,F,U,차분하고 조용한 소심이 누나예요~  너무 너무 귀여운 검은 콩 3개 누나~~  누나는 구조당시 뼈밖에 안남은 상태로 1달 보름이상을 시보호소에 있었습니다.  입양문의가 없었던 그렇게 안락사 명단에 있었습니다.  누나는 겁에 질려 웅크려 있었지만 작게나마 구조의 손길을 가만히 받아드리는 모습을 보였습니다.  그렇게 센터에 입소하고 보니 다리를 들며 절뚝였습니다.  고관절 허혈성 괴사.  소형견 친구들이 많이 걸리는 질병이예요.  우리 누나는 검역기간을 종료후 수술을 하고 열심히 재활치료를 받고 있습니다. 당분간 가정에서도 열심히 근력 강화 훈련을 시켜주셔야 돼요.!!  산책 열심히 해주시고 바닥이 미끄럽지 않게 매트를 깔아주세요.  근육으로 고관절 주위를 단단하게 받쳐준다면 일상생활에 무리는 없습니다. (장시간 달리거나 격렬한 운동 등은 피해주세요)   현재 종종 걸음으로 다가와 쓰담 쓰담을 받으며 애교도 부리는 착한 친구예요.  너무 순하고 짖음 입질 등 공격성이 없는 정말 조용한 친구입니다.  다만 털빠짐이 다소 있기 때문에 털빠짐에 예민한 가정의 경우 입양에 심사숙고 해주세요.  패드배변 훈련중이며 다른 강아지들과 무리없이 잘 지내요.  영유아 이상의 어린 가정 또는 처음 반려견을 맞이하는 가정 등 어느가정과도 적합합니다.  다만 실외에서 자란 듯 보이기 때문에 집안에서 생활하는 기본적인 훈련과 산책 훈련 등   사회성 향상을 위한 다양한 적응 훈련을  해주셔야 돼요.  아직도 많이 말라있습니다.  체중 증량을 위해 식이 관리해주세요.  방긋 방긋 너무 사랑스럽고 예쁜 누나.  인형같은 귀여운 외모를 지닌 바둑이 누나의 평생 가족을 기다립니다.,서울특별시 마포구
닥트,말티즈,말티즈,White,2019.04,7.16,https://cafethumb.pstatic.net/MjAyMzA0MTRfMzUg/MDAxNjgxNDYzMzU0MjM4.zD6AkVGuGqmwSUrC2gDty_kmw8AlCTfLpM80RD3zJlwg.hRCySnFsEJEiFVxVjk3xRNmuVGQasxoWmCv11AwllN4g.JPEG/P1010197.JPG?type=f200_200,Y,M,U,사람을 좋아하는 얌전한 흰둥이 강아지 닥트예요!  좋아하는 것과 싫어하는 것이 확실한 단호박 성격의 말티즈?!  아니요!!!  우리 닥트는 너무 너무 순하고 얌전한 친구랍니다^^  1달 동안 시보호소에 체류했고 구조당시 매우 말라 뼈밖에 없던 몸과  호흡기 감염이 심해서 네뷸라이저 호흡기 치료를 하였어요. (치료 완료)  조금씩 체중을 늘려가고 있어요. (입양후 조금 더 식이관리를 통해 적정체중으로 맞춰주시면 좋을 것 같아요)  다른 강아지 친구들과도 대면 대면~ 문제 없이 잘 지내고 있어요(관심이 없습니다).  패드배변도 잘하고 마킹도 적어요~  기본 훈련및 손까지 훈련이 되어 있던 닥트예요.  살짝 겁도 있고 다양한 환경에 대한 경험은 적은 듯 보여요.  이쁘다 이쁘다 애교를 받아주면 착 달라붙어서 떨어지지 않는 딱 무릎강아지 :)  어린 자녀를 지닌 가정 또는 처음 반려견을 맞이하는 가정 등 어느가정과도 적합합니다.  들쑥 날쑥 가정에서 미용한 듯한 털은 길고 지저분해 보여 말끔하게 미용을 하였습니다.  소형견이다보니 슬개골탈구가 있어요.  아직 수술할 단계는 아니고 미끄럼 방지 매트와 꾸준한 산책 그리고 점프 등을 하지 못하도록   관리해주시면 좋을 것 같아요.  조용하게 다가와 폭풍 애교를 부리는 작은 흰둥이 닥트의 평생가족을 기다립니다.,서울특별시 마포구
나솜,포메라니안,포메라니안,Unknown,2022.12,7.16,https://cafethumb.pstatic.net/MjAyMzAzMjlfMjIw/MDAxNjgwMDU1MjA4NTg5.tJwgcjQP7hJNGMinNFZqZZ8O0SCUskliz29YabFqDFwg.Mm0yYotoLUmfFTqMMloP1vCg7PI38Y_jiudpwMAtwDIg.JPEG/KakaoTalk_20230329_103449944_07.jpg?type=f200_200,Y,F,N,무서운 것 모르는 하룻강아지 나솜이예요!  서울시 긴급구호조치를 통해 피학대견으로 입소하게 된 어린 포메 나솜입니다.  구조당시 골절이 있어 치료를 했으며 현재 골절된 부위의 뼈는 잘 붙었습니다.  하지만 워낙 어린 강아지라 아직 단단하게 붙지 않았기 때문에 주의 관찰하며 관리해주셔야 돼요. (앞으로 치료가 필요한 경우 입양가족께서 치료를 해주실 수 있어야 합니다.)  또한 중성화하지 않은 개체라 입양후 중성화 수술에 동의하셔야 됩니다. (중성화 미동의시 입양 불가)  유치가 난 상태이며 앞으로 이갈이부터 이것 저것 훈련이 필요해요.  하루 하루 쑥쑥 자라나고 있습니다.  입양후 반려가족의 훈련과 보살핌으로 나솜이가 멋진 반려견이 될 수 있도록 도와주세요.  매우 어린 강아지라서 영유아가 있는 가정보다는 어느정도 활동이 가능한 자녀가 있는 가정  또는 처음 반려견을 맞이하는 가정 등이 적합합니다.  병원에서 자신보다 대여섯배 되는 언니 오빠들에게도 막 들이대는 아주 용감하고  겁없는 뽀짝 강아지 나솜의 평생 가족을 기다립니다.,서울특별시 마포구
나금,믹스,요크셔테리어,Black,2021.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMjFfOCAg/MDAxNjc5MzkyMTg1MDM2.cqB1cJao39wQjODZ5W2Jqly6sVMrmEzzinIA0DsUhSwg.YfkZlFVIlNS-yzeS4VGyy44J_uDZqyp6qoP9XhHzOcUg.JPEG/P1010438.JPG?type=f200_200,Y,F,U,너구리23과 함께 시보호소에서 센터로 들어오게 된 나금이예요.  너구리처럼 외부에서 오랫동안 생활한 듯 보이는 나금이는 겁이 많답니다.  나금이는 중성화 수술이 된 상태인데  수컷인 너구리와 교배를 방지하기 위함인 듯 보여요.  너무 귀여운 외모를 지녔지만 소심하곡 겁이 많아서 어디론가 숨어있기 일쑤였어요.  산책도 기본 지시어 훈련도 되어 있지 않아요.  사람을 좋아하지만 겁이 많다보니 다가오기 보다는 멀리서 주변을 맴돌기도 해요.  하지만 익숙한 사람에게는 다가가 손 냄새도 맡고 간식도 아금 아금 잘 받아먹으며   귀여운 애교를 보여준답니다.  털빠짐은 보통입니다.  다른 강아지 친구들과 놀기보다는 긴장하며 주변을 살펴봐요. 그러다 강아지 친구들이 하는 행동을 따라합니다.  조용한 친구라서 외동도 좋지만 차분한 강아지가 있는 다견가정도 좋을 듯 해요.  패드배변 훈련중이며 순하고 착해서 어린 자녀가 있는 가정 또는 처음 반려견을 맞이하는 가정 등  어느 가정과도 적합합니다.  다만 너무 어린 영유아의 가정인 경우 반려견과의 합사 또는 분리를 충분히 할  수 있는 공간이 요구됩니다.  센터에 입소한 지 1달여가 지나는 지금 살며시 빼꼼히 관찰하며 쳐다보는 검은 콩 3알 나금이!  편식이 있어 밥을 잘 먹지 않지만 천천히 기다려주면 어느 정도 밥을 먹어요.  안기길 좋아하는 작은 발바리 나금에게 가정의 따뜻한 새로운 세계를 열어주실 평생 가족을 기다립니다.,서울특별시 마포구
낭군,믹스,믹스,Unknown,2021.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMTZfMTg3/MDAxNjc4OTQ0Mzg2Nzg1.ShVYB6cpdewdLaQDm52Mp7J2C0SkwXc-Jw04ADF0xdIg.FotFxd18Iwl_8YVb7rdXGA_H-0nuHmYrxSnqUFP9kywg.JPEG/P1010101.JPG?type=f200_200,Y,F,U,,서울특별시 마포구
누이,믹스,믹스,Unknown,2022.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMTZfNTIg/MDAxNjc4OTMxNTI1NDUy.sLc8kFZF1Fr9TI4PjxTYxQoZxYYRaNlo__2hgQTiaGMg.xUHZke3a5HO5_dvt-40Ntpzo0lVk2zDoHnBU06P-bXYg.JPEG/P1010307.JPG?type=f200_200,Y,F,U,,서울특별시 마포구
너구리23,믹스,시츄,Unknown,2022.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMTNfMTE1/MDAxNjc4Njg2MjgwNjM2.x_urvQ5kDLAfNK_qJe-hWfFhsY79ovZjaJajI0_gTzAg.GkbVOZGnM7AostbBhlhjBkGg1S8V4bCsqKCq1_ESMjkg.JPEG/P1010174.JPG?type=f200_200,Y,M,U,사람을 너무 좋아하는 천사 강아지 너구리23이예요!  왜 너구리 23이냐구요?! 19년도에 너구리라는 이름을 지닌 예쁜 강아지가 있었기 때문이죠^^  너구리는 시츄믹스 아이예요.  아마도 시츄와 말티즈가 섞인 아이가 아닌가 추정합니다. (얼굴을 알아보기 힘들어 가볍게 위생 미용을 얼굴에 시행했어요.)  시츄 외형을 그대로 닮았고 말티즈의 보드라운 털을 지녔어요^^  너무 너무 착한 시츄 견종답게 심하게 엉킨 털을 빗질하는 동안 한번도 움직이지 않고 잘 받아주었답니다 :) (그 뭉친 털안에는 마른 풀과 나뭇가지 등이 많이 들어가 있어서 외부 생활을 했던 친구라고 생각됩니다.)  다른 강아지들과도 잘 지내고 마킹도 심하지 않아요.  다만 사람을 너무 좋아한 나머지 분리불안 증상이 있어서 1인가족보다는 가족 구성원이 많은  또는 상주하는 가족 구성원이 있는 가족이 적합합니다.  (물론 1인가족도 입양가능하오나 분리불안으로 생긴 문제점 등에  강아지 유치원이나 전문 훈련사를 통해 적극적으로 해결하기 위해 노력하셔야 됩니다.)  어린 나이답게 똥꼬발랄하지만 예전 생활이 그다지 사랑받았던 환경이 아니었던 것 같아요.  그래서 약간 소심한 모습을 보이지만 얼마되지 않아 마음을 열고 엉덩이를 신나게 흔들어주는 바둑이가 됩니다.  편식이 있는 편이라 사료를 잘 먹지 않아요. (그때 그때마다 배고프면 잘 먹는 편입니다. 입양후 식이조절을 통해 건강관리 해 주세요)  하루 종일 햝아주며 그루밍해주는 예쁜 너구리23!  처음 반려견을 맞이하는 가족 또는 어린 자녀를 지닌 가정 또는 어르신과 함께 거주하는 대가족 등  어느 가족과도 적합합니다.  패드배변 훈련중이고 기본 훈련이 되어 있지 않아요.  입양후 기본 지시어 훈련부터 산책 훈련까지~  행복한 반려견이 될 수 있도록 도와주실 평생 가족을 기다립니다.,서울특별시
니노,스피츠,스피츠,White,2021.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMTNfNDkg/MDAxNjc4NjgzMDk1NjM4.aXAR-Y0H-QkT9rxLaf_ZB5nnyXvXXG1sX04hrh9mmNMg._m4-F_6AVrIZT98QMCb4l-gk5RsxmlUNNbGf1H8eq3Yg.JPEG/P1010122.JPG?type=f200_200,Y,M,U,사람을 너무 너무 좋아하는 활발한 흰둥이 니노예요^^  일반 스피츠보다는 좀 작은 체구라서 폼피츠가 아닐까 추정하고 있는대요 :)   털빠짐이 많은 개체로 털빠짐에 예민한 가족의 경우 신중하게 입양상담 부탁드립니다.  기본 훈련이 되어 있던 니노.  오랫동안 시보호소에서 입양가지 못하고 남아있었습니다.  어린 개체라서 매우 활발합니다.  다른 강아지들과도 크게 문제없이 지내고 있어서 이미 반려견이 있는 가정에서도 적합합니다.  너무 어린 영유아 가정이 아닌 자녀를 가진 가정 또는 처음 반려견을 맞이 하는 가정 등 어느가정에도   멋진 반려견이 되어 줄 수 있습니다.  사람을 좋아하는 강아지라서 처음 입양 후 분리불안 등으로 짖음이 생길 수도 있으며  새로운 가정환경에 적응하느라 문제행동 들이 발생 할 수 있습니다.  (센터에 입소한 기간이 짧을수록 개체를 관찰하고 파악하는 것들이 적습니다. 그점 감안해 주세요.)  발톱도 잘 깎고 목욕도 잘하는 털뿜뿜 강아지 니노~  엉킨 털 빗질도 아플수 있는데 잘 받는답니다 :)  수컷이다 보니 마킹이 살짝 있지만 심한 편은 아니예요!  마킹도 패드에 잘하는 편입니다^^  패드 배변 훈련중에 있으며 밥도 잘먹고 순한 친구예요.  갇혀진 공간에서 조금 흥분하는 편이라서 집에서 하우스 훈련을 해주시면 좋겠습니다.^^  애교도 으뜸! 외모도 으뜸!  귀여운 외모에 착한 우리 니노의 평생가족을 기다립니다.,서울특별시 마포구
난빛나,믹스,믹스,White,2021.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMTFfMjc3/MDAxNjc4NTE0MzQyNjM3.1t7_Bnx910YIetybrylei44VRAps20k_c4jK96ZWoeMg.4qrjSoxrAyNDDTJnESY1EGr786Rw86lsanUyL57hglwg.JPEG/P1010127.JPG?type=f200_200,Y,F,U,하얗고 곱슬거리는 털에 차분하고 얌전한 강아지 빛나예요!  빛나는 하나뿐인 가족(할아버지)가 돌아가신 후 서울시 긴급구호조치를 통해 센터로 입소하게 되었습니다.  사람을 좋아하지만 약간 소심한 성격을 지닌 빛나.  아직 낯선 환경인 센터에서는 식이량이 좋지 않아요.  안먹다가 배고프면 한번에 먹거나 하는 식으로 일정하지 않은 식이량을 보입니다. (좀 더 시간이 지나고 센터 생활에 익숙해지면 좀 더 나아질 것 같아요!)  긴장하면 식이 간식 물 등 먹지 않는 것은 소심이들의 기본 행동 패턴이예요. (크게 문제되지 않습니다!)  하지만 천천히 산책을 시도하면 잘 따라오기 때문에 산책을 자주 해주셔서 적응 시켜주시면 좋을 듯해요.  다른 강아지들과 섞여있되 어울림은 그닥 없어요.  싸움도 흥미도 거의 보이지 않아요. :)  그저 한켠에서 익숙한 친근한 사람이 나타나면 다가와 쓰담해 달라고 조용히 곁을 맴돕니다.  패드배변 훈련중이며  켄넬 등 이동장에서 많이 긴장해요.  이또한 경험이 적어서!!! 입니다.  입양 후 하나씩 하나씩 알려주시고 적응시켜 주시면 좋을 것 같아요!!  등부터 꼬리~ 엉덩이 털까지!  복실복실 곱슬거리는 털은 우리 빛나의 매력 포인트랍니다^^  처음 반려견을 맞이하는 가족 어린 자녀를 지닌 가족 또는  어르신과 함께 지내는 대가족  털 빠짐에 예민한 가족 등 어느 가족과도 적합해요. :)  짖음 등은 심하지 않으나 입양후 적응시기에는 분리불안이 생길 수도 있을 듯 합니다.  하나뿐인 가족의 잃고 우울한 모습을 보이는 흰둥이 빛나.  빛나의 이름처럼 밝고 빛날 수 있도록 다시 사랑을 주실 평생가족을 기다립니다.,서울특별시 마포구
나인,믹스,시츄,Unknown,2020.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMDdfMTI4/MDAxNjc4MTY5MTc1MjQw.vOycmYKPF6RvXFv3HOLv-D-jnu-faEiPX6e4LibOIUQg.M-ofwdpVNuyufZQEH9ScGXqBneZeIbunoajRG0xtS_Eg.JPEG/P1010036.JPG?type=f200_200,Y,F,U,사람을 너무 너무 좋아하는 착하디 착한 순둥이 강아지 나인이예요!  구조당시 심하게 엉키고 길어진 외모보다는 한쪽 눈이 없어 더 안타깝게 느껴졌습니다.  예쁜 눈과 얼굴이 보이게 급하게 가위로 잘라낸 모습도 너무 예뻤어요!  낯가림보다는 사람에게 꼬리 흔들며 다가오는 착한 나인!  살짝 겁쟁이에 사람에게 안기는 걸 좋아하고 매우 말라서 뼈가 다 드러나는 몸을 지녔습니다.  육포 등 향이 강한 간식만을 먹길 바라고 일반 사료는 먹는 것을 좋아하지 않아요.  편식이 심한 편이며 아마 일반 사료보다는 사람이 먹는 음식을 먹고 자란게 아닌가 추정됩니다.  외부에서 자란듯 보이고 기본 훈련이 전혀 되어 있지 않아요.  하나씩 훈련하면서 서로 교감을 느끼고 신뢰를 주시면 좋을 것 같습니다^^  (앉아 기다려 등 기본 지시어부터 산책 훈련까지.)  외부의 소음에 짖음이 있어요. 방음에 취약한 환경이라면 입양에 적합하지 않습니다.  깔끔하게 미용하고 옷을 입히니 더욱 외모가 빛납니다.   패드 배변 훈련중이며 다른 강아지들과도 대면 대면~  너무 적극적으로 들이대는 강아지 친구만 아니면 괜찮을 것 같아요!  사람 곁에서 온기를 나누며 지긋히 바라봐주는 착한 반려견을 원한다면 나인이를 추천드려요!  워낙 순한 친구라서 어린 자녀가 있는 가정 또는 털빠짐에 예민한 가족 등  어느 가족과도 적합한 친구입니다.  나인이의 눈에 담기는 모든 세상은 하나뿐인 가족이 될꺼예요.  사랑스러운 나인의 또하나의 눈이 되어주실 평생 가족을 기다립니다.,서울특별시 마포구
니코,믹스,믹스,Unknown,2021.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMDNfNzYg/MDAxNjc3ODIwMzExMTY2.bLZWHnnpyvEQGcCRG8rJUK8ZTu76A5eZiduuUCitezMg.WHfiZlRUKrQtSL648oARbnljNkNZZZIhX0LmA0II3E4g.JPEG/P1010100.JPG?type=f200_200,Y,F,U,마당에 묶여서 지낸 듯 사람을 좋아하지만 스킨십은 어색해서 긴장을 많이하고 마우스 펀칭을 하는 아이예요.  센터에서 구조당시 심하게 엉킨 털을 가위를 통해 제거했지만 풍성하고 매끄러운 털의 매력은 그대로예요.  경계와 긴장이 심해 처음에는 직원들을 많이 물려고 해서 조심하면서 관리했습니다.  친해지기까지 시간이 필요한 친구랍니다.  웰시코기+여우같은 예쁘고 귀엽게 생긴 작은 니코!  짧은 다리와 엄청난 먹성을 자랑하는 니코는 센터에서 지내면서 오통통~ 살집이 많이 오른 상태예요 :)  사람을 많이 좋아하고 갇혀진 공간에서 지내 본 적이 없어 그런 환경이 되면 많이 힘들어 합니다.  미용 목욕 양치 모든게 익숙하지 않은 니코.  고등이상의 자녀 또는 성인으로 구성된 가족이 적합합니다.  다른 강아지들을 피해 조용하게 지내는 것을 좋아해요.  외동타입이며 분리불안이 있어 짖음이 있습니다.  싱글가족보다는 다인 가족 반려견 경험이 있는 훈련 가능한 가족이 적합해요.  짧고 작은 체구로 왕! 하고 급하게 먹으려는 습성이 있어요.  손바닥으로 간식을 주시면 됩니다 :)  패드배변 훈련중이며 깔끔한 것을 좋아해서 패드에 배변을 하면 뒷발로 덮어두는 센스를 지녔어요~ㅎㅎ  천천히 적응할 시간과 무한한 사랑을 바탕으로 한 신뢰를 주신다면  환한 웃음으로 보답할 수있는 친구입니다.  작은 발바리 니코의 평생가족을 기다립니다.,서울특별시 마포구
내코,믹스,믹스,Unknown,2021.03,7.16,https://cafethumb.pstatic.net/MjAyMzAzMDJfMTA4/MDAxNjc3NzM0Njc3NzM4.gcQCy7KxP4XxjuOUa6ZkUtXCzzz4VqzWr23hsQ7GFxMg.XwFw_y314TbW6fzB9mHRaHkDoBJvv4rVfMf0pR4ceCsg.JPEG/P1010069.JPG?type=f200_200,Y,M,U,얼굴조차 보이지 않는 두꺼운 털갑옷 속 자그마한 겁쟁이 강아지.  오랫동안 한 곳에 묶여지낸 듯 보이며 관리는 커녕 사람을 무서워하던 강아지.  너무 심하게 방치되어 있던 탓에 심장사상충이라던지 기타 질병이 심할 줄 예상했으나  천운으로 건강상 영양이 나쁜 것 빼고는(매우 마름) 크게 문제 없었습니다.  다만 사람의 손을 무서워해서 입질하는 등 심한 경계와 두려움이 있었어요.  (입소당시 심하게 오염되고 두껍게 뭉친 털을 제거하기 위해 위생 미용을 실시했으나   워낙 겁이 많고 심한 털이 미용기로는 쉽게 제거가 어려워 급하게 가위로 제거하고  추후 익숙해진 다음 미용을 실시했습니다.)  그래서 센터 입소 초반에는 직원이 물리는 일도 있었지만 센터의 직원에게 익숙해지기도 하고  안정을 많이 찾아서인지 사람을 좋아하는 마음이 더 큰 것인지 갑작스런 만짐 이외에는 크게 놀라거나  마우스펀칭 하는 일은 없습니다. (상처를 입히는 것보단 경고조로 합니다.)  간식(육포)를 매우 좋아해서 간식만 있으면 금방 친해질 수있어요.  하지만 매우 많이 소심하고 긴장을 하는 친구라서 성급하게 스킨십을 하거나 낯선 환경에 노출 시키면   바로 줄행랑치거나 숨을 수 있습니다. (물 수도 있어요)  목욕 미용 스킨십 등 모든 행동에 두려움과 경험 부족으로 놀래거나 무서워해요.  친해진 후 살살 달래면 가능합니다.  중고등 이상의 자녀가 있는 가정 또는 성인으로 구성된 가정에게 적합하며  다른 강아지들과도 무리없이 지내기 때문에 너무 들이대는 적극적인 반려견이 있는 가정외에는   괜찮을 것 같아요.  사료 밥은 그닥 좋아하지 않아서 천천히 먹는 편이고 패드배변 훈련중입니다.  천천히 내코에게 적응할 시간을 주시면 꼬리 뱅뱅하며 다가와 친해질 수 있습니다.  숨겨진 내코는 사람을 좋아하고 흥도 많은 친구예요.  충분히 시간을 주시고 사랑주시면 매우 밝고 명랑한 모습을 보여줄 거예요.  엉망진창 주어진 환경속 상처받은 몸과 마음을 치유해주실 평생 가족을 기다립니다.,서울특별시 마포구
금자,믹스,믹스,Unknown,2018.03,7.16,https://cafethumb.pstatic.net/MjAyMzAyMTdfNTYg/MDAxNjc2NTk4NjA4MTA2.bwOlBBPKLAjxHGoNctupEgYnBnJWvkVfQCrKtNqoIFkg.i9PqF3wEUZWJ7mnCLPyEnWglV9jurv3grlxPjvulKwwg.JPEG/P1010163.JPG?type=f200_200,Y,F,U,사람을 너무 좋아하는 깨방정 강아지 금자예요!  유기? 유실? 후 시보호소에 있던 상태에서 전 가족에게서 본인의 강아지라고 찾아가겠다고 연락이 왔다고 합니다.  그러나 한참이 지나도 가족은 찾아오지 않았고 다시 연락이 왔을 때는 아이(자녀)를 키우고 있어   개를 키울 수없다고 했대요.  그후 어떠한 연락도 되지 않았다고 합니다.  열악한 시보호소에서 거의 1달을 그렇게 가족이 찾아오길 기다리던 금자는 가족이 찾아온다는 말때문에   다른 입양가족을 만날 수도 없었고  찾아가지 않겠다고 한 그후부터는 안락사를 기다리게 되었죠.  이러한 안타까운 사연에 센터에서 구조하게 되었습니다.  처음 보는 센터의 직원에게 좋다고 안기고 달라붙고 최강 애교를 지닌 금자.  착한 금자는 갇혀진 공간에서는 짖음이 매우 심해요.  아마 이동장 등 익숙치 않은 듯 해요.  풀어 놓으면 괜찮고  다른 강아지들과도 사이좋게 잘 지냅니다.  구조당시 매우 말랐던 몸도 보기좋게 살집 오르고 있어요!  잘 먹고 보들 보들 부드러운 털이 매력적인 금자씨^^  패드배변 훈련중이며 마운팅을 즐기는(?) 아이예요 ㅎㅎㅎ  완전 다른 집인 국희와 많이 닮은 바둑이랍니다^^  워낙 친화적이고 사랑스러운 아이라서 처음 반려견을 맞이하는 가족이나 다견 가족에도 적합합니다.  털빠짐은 보통이며 기본 훈련이 되어 있지 않아 여러 훈련이 필요한 상태예요.  순하고 공격성도 없습니다.  이사 출산 경제력 등으로 유기되는 아이들이 많습니다.  충분히 평생 책임지고 함께할 수있는 지 고려하신 후 입양 신청 부탁드립니다.  애교둥이 금자를  어떠한 이유로도 손을 놓지 않을 평생가족을 기다립니다.,서울특별시 마포구
국희,믹스,믹스,White,2020.02,7.16,https://cafethumb.pstatic.net/MjAyMzA0MTRfMzQg/MDAxNjgxNDc2NDk4NjM1.wN8oB4VZR4xAcCj44nao-hbH0iMLj5lVJXQDpXZMT6cg.4m95fsX1iO0xZ2whc62FjLZ6n45KBOdvMW3kbOj-nqQg.JPEG/2.JPG?type=f200_200,Y,F,U,금순과 같이 구조된 애니멀 호더의 아이예요.  애니멀 호더로부터 시보호소로 이동 입양가족을 기다렸습니다.  애니멀 호더로부터 제대로 된 관리나 애정을 받지 못해 심한 공격성과 입질 사람을 피하는 아이들 중 하나로 (금순과 국희 두친구가 한 집 아이입니다.)  사람의 눈도 마주치지 못하고 장 안에 구석에 웅크리고 만지려고 하면 강하게 긴장하며 피하려고 하는 아이였어요.  장안에서 다른 개들이 짖을 때 같이 짖고 쳐다보면 안짖는 아이.  보호소에서 국희를 안아올리니 어떻게든 도망가겠다고 몸부림쳐서 놓치면 큰일날 까 꼭 붙잡았어요.  얼마나 많은 시간과 애정을 쏟아야 사람에 대한 신뢰와 마음을 열어줄 지 어느 누구도 몰랐어요.   하지만  입소한지 1달여 지난 지금 국희는 처음 모습과 전혀 다른 모습으로 사람을 맞아줘요!  꼬리펠러도 뱅뱅~  안기기도 잘하고 바로 다가와 쓰담 쓰담을 받으며 눈도 잘 맞추는 너무 친화적인 아이가 됐답니다^^  마음을 일찍 열어준 국희가  고마울만큼 패드배변 훈련도 잘 받고 다른 강아지 친구들과도 잘 지내요.  털빠짐이 다소 있는데 워낙 열악했던 애니멀호더의 환경에서 식이를 잘 섭취하지 못한 것도 한 몫하는 듯 해요. (구조당시 뼈밖에 없을 정도로 매우 말라있었어요.)  밥도 잘먹고 방긋 방긋 잘 웃어주는 예쁜 국희!  워낙 순한 친구라서 처음 반려견을 맞이하는 가족 또는 다견 가족에게도 적합합니다.  물론 어린자녀가 있는 가족도 좋습니다 :)  하루 하루 밝아지는 모습을 보여주는 국희는 아직 낯선 사람에게 안기거나 하면 얼음이 될 수있어요~  하지만 얼마되지 않아 마음을 열고 깨방정 애교를 보여줄테니 큰 걱정하지 않으셔도 됩니다.  하얀 캔버스 같은 국희에게 반려견으로써 산책부터 여러 훈련을 해주실 평생 가족을 기다립니다.,서울특별시 마포구
