Trait,Count
고환이하나내려와있음,1
휜뒷다리,1
꼬리길,1
희귀한,1
소변보기,1
하악부위송곳니,1
수영능력,1
고급스러움,1
사자꼬리,1
달래는,1
등털절삭,1
포유흔적,1
보디가드,1
미소천사,1
엄근진,1
관리능력,1
남성적,1
마지막,1
중서화흔적,1
치아거의없음,1
잘놀림,1
털묶음,1
교합,1
선함,1
숨기기,1
듬듬미,1
십자인대문제,1
패혈증,1
개방성,1
무딛질,1
지속적관리요구,1
집안느낌,1
항문털털림,1
맹함,1
기분종잡을수없음,1
생각불분명,1
입짧음,1
미숫가루빛,1
오른아래송곳니깨짐,1
아랫니두개빠짐,1
윗송곳니빠짐,1
혀튀어나옴,1
피흘림,1
우전지못함,1
동물보호법위반,1
수의사법위반,1
우안안구손상,1
신나는,1
케이블타이로고정,1
겸손,1
인근저수지,1
오른윗송곳니빠짐,1
살이쪄야함,1
안전,1
후지올가미,1
무섭지않음,1
엄격함,1
들창한외모,1
짜장머즐,1
목욕필요,1
밀크커피빛,1
뽀글뽀글한털,1
으러렁댐,1
동글둥글,1
에르리히아항체,1
울프독스러운털,1
묶어놓음,1
우주선수건,1
요구함,1
건사료,1
몸털털,1
볼따구,1
쫀덕쫀덕,1
네발끝,1
자견파,1
귀미,1
철사올가미목파고듦,1
음낭부위헐어있음,1
분위기,1
무드,1
다리굵기,1
외모완벽함,1
치아마모,1
윗턱돌출,1
조련능력,1
뒷다리문제,1
쓸개골,1
외사시,1
귀모양특이,1
잿빛,1
오른송곳니깨진,1
마르,1
자궁질환,1
방석훈련,1
안경쓴듯한모양,1
겨울,1
끊어짐,1
격하함,1
견갑주,1
교합이상,1
고절,1
애착력,1
헌신,1
꼬리반점,1
보행능력,1
등반점,1
몽롱함,1
콜리스러운털모양,1
치아소실,1
양육경험필요,1
등엉덩이까지,1
힘이셈,1
흑임자털,1
민첩함,1
입씰룩함,1
곰돌이같음,1
아이라인있는,1
향긋한냄새유지,1
이빨전혀없음,1
결심력,1
발바닥털,1
돌출된안구,1
이가삭,1
재빠름,1
코새까맣음,1
편의점,1
치아상태,1
물린흔적,1
혼자다님,1
치근거림,1
불린사료섭취,1
뽀얀외모,1
짧털,1
아이라인돼지털,1
윗니,1
이빨내밀,1
네발패드,1
넥카라,1
안길려고함,1
복실복실,1
점잖,1
두겹털,1
털결,1
코주변부풀음,1
관리가필요한,1
후원함,1
덩지가있는,1
다침뼈,1
관리됨,1
멜로우,1
짝쳐진귀,1
성처딱지,1
귀가한쪽만접혀진,1
여우,1
삐에로,1
광대모자,1
들참,1
동그랗게생김,1
빛나는턱,1
코위로털,1
자주자는,1
팔랑거림,1
짝접혀,1
상태안좋음,1
치인듯함,1
노는것,1
외관,1
사이즈,1
양윗송곳니깨짐,1
쉼터,1
폭신폭신한털,1
사체인계,1
폐사,1
양볼,1
날렵한몸매,1
소방서,1
하트모양,1
좌전지팔꿈치,1
총기가득함,1
우안근처지방종,1
근육량부족,1
감수성풍부,1
흑진주빛,1
팔랑귀,1
우둘투둘함,1
목뒤몽우리,1
하이톤,1
이뻐함,1
호의적,1
후지털,1
추락,1
후전지,1
교쇠,1
보이지않음,1
안심,1
안면털,1
양말신,1
락안됨,1
꼬리위로짝말림,1
찌고다리얇음,1
등쪽동그랗게,1
관리가잘되어있다,1
빨리찾다,1
떠남,1
빨리찾음,1
무게감있음,1
우후지다리,1
근성,1
기어다니,1
고환증,1
빵빵한볼,1
물가능성,1
잘자,1
손많,1
손질된,1
보행이해필요,1
모델체형,1
감독,1
도롯가,1
돌아다니는개,1
안보이는,1
CCTV확보,1
구미당지지않음,1
불법,1
천사견,1
뜬장,1
레보루션,1
이빨건의없음,1
둥글고긴귀,1
즐거움,1
국물라인,1
반전적,1
질병,1
폭신한털,1
유니크한질감,1
배털,1
좌전지요,1
결단력,1
우측전지봉합,1
반복적임,1
말린꼬리,1
털떡짐,1
자궁축농증,1
좌후지경,1
휘어짐,1
털관리잘함,1
앙다문입술,1
방석취미,1
지친,1
앞다리패턴,1
사진미숙,1
송곳니들림,1
안으려고끼깅함,1
분양불가,1
토실토실,1
조그만몸,1
전기선,1
뒷다리빨갛고쓸린듯,1
꼬리단정함,1
야무지,1
저항심강,1
하반신,1
물어뜯음,1
점액변,1
꼬리털길게,1
다정함,1
성장중,1
턱밑검털섞임,1
말려있음,1
입털,1
예방주사,1
간질환,1
털모양,1
발없음,1
잇몸손상,1
다견가정적합,1
오래돌아다님,1
포실포실한털,1
매너교육필요,1
드레싱,1
까만털,1
털이보들보들한,1
돌변주의,1
우측심함,1
시츄,1
면역,1
마취,1
청진,1
두드러기,1
자기주장이강함,1
학대,1
범죄,1
조려함,1
입가검반점,1
관찰적,1
꼬리우측,1
물린자국,1
패셔니스타,1
날씬한다리,1
청각미흡,1
담요,1
캔네파바이러스,1
좌안적출,1
간수치상승,1
자유로움,1
자해행동,1
건장함,1
힘쎔함,1
양뒷발목,1
시계방향으로돔,1
폐사상태,1
묶인흔적,1
궁둥이,1
운명,1
대역변,1
촉촉한코,1
향기,1
알머리컷,1
질주본능,1
대퇴골심함,1
매끈한털,1
왼편심함,1
다래,1
체온,1
양송곳니깨진,1
또렷한,1
너구리스러운,1
자기주장력,1
혈당저하,1
여우느낌,1
동글한꼬리,1
털긴편,1
짝됨,1
호전됨,1
꼬리털털결림,1
존재,1
긴아이라인,1
좌전지발끝,1
양후지발,1
우안백탁,1
신호이해부족,1
방석,1
탈진,1
발라당하는,1
집나온지좀된듯함,1
늘씬한몸매,1
입등쪽검털,1
사치,1
혈통관리,1
귓병있음,1
캔네프바이러스,1
힘빠짐,1
변덕,1
마늘형태,1
옥수수수염모양발바닥털,1
털양파,1
자주긁음,1
다발성장기부전,1
교감뛰어남,1
양안각막백탁,1
코피,1
청미,1
의사표현잘함,1
셔틀랜드쉽독느낌,1
심한복수,1
집안꾼,1
황달,1
애처로움,1
앞발깡총깡총,1
손다루기쉬움,1
헤하고입벌림,1
머리털떡짐,1
절세겸둥,1
오른다리,1
우유,1
긴털꼬리,1
대소변잘가림,1
조화로움,1
안약처방,1
관찰력좋음,1
아이라인없음,1
저혈당,1
빠르개,1
마음,1
사로잡는,1
느릿느릿,1
전신마취후검사,1
보행불편,1
둥글둥글함,1
관리용이,1
무지개골,1
생년월일,1
쌩얼,1
높이적당,1
얼음,1
웃는웃상,1
지정,1
운영자,1
발바리같음,1
이해,1
아래앞니삐뚤,1
보호소에서관리,1
양후지보행,1
속상함,1
이빨적음,1
외모화려,1
방정피우지않는개,1
닮외모,1
꼬리잘다룸,1
하복부절개,1
철사감김,1
수태,1
동양적외모,1
추운날씨에대비필요,1
털촉촉,1
마스코트견,1
골드빛,1
뛰어넘기,1
느리게,1
뛰기,1
발콥긺,1
대천사성향,1
앉음잘알아듦,1
복부발적,1
정신사나움,1
쫄쫄쫄함,1
불독느낌,1
다리저는,1
대변활동이원활함,1
외모귀짝,1
짱구머리,1
함몰,1
두피털이얇음,1
털자라는중,1
대칭패턴,1
좌후지절음,1
결손,1
보더콜리,1
끈기,1
다칠수있음,1
불법적,1
추위민감,1
둔함,1
우울하지않음,1
귀가가장크다,1
초롱,1
자기표현,1
하트가드,1
몸털,1
앞다리목,1
희로인,1
단정한털,1
인상적,1
빗질어려움,1
니삭스신듯한패턴,1
진짜,1
막집나온,1
주인에영향을받음,1
우전,1
올무걸림,1
윗턱,1
양육,1
관리요,1
모량풍부,1
이빨아주,1
털많음,1
찡박힌,1
진흙,1
앞발잘씀,1
졸린,1
복실털,1
양앞발꿈치굳,1
청초한느낌,1
유일함,1
아랫앞니거의없음,1
만화적인,1
뻣뻣함,1
고풍스러운,1
꼬리흔듬,1
항문폴립,1
자세,1
촬영,1
빠른발걸음,1
예상가능,1
수축,1
몰키,1
넘이뽀,1
빵빵한모량,1
똥글뚱한몸매,1
반기는,1
외모중시,1
추억력,1
여리한외모,1
까만코,1
멜롱이,1
배려하는,1
탈출시도함,1
총견,1
극세사,1
고양함,1
흑백,1
접종안됨,1
잠자는,1
졸림,1
포즈취함,1
털패턴,1
안검내반,1
전투측정기,1
안경,1
프로벽타기능력,1
마상입음,1
불신,1
촬영함,1
앙다른입술,1
토끼,1
촉감반응,1
뇌질환의심,1
안좋아짐,1
항상있는,1
구월이름,1
검털많음,1
민감,1
엄마미소,1
잔디밭,1
여성적,1
오른쪽,1
길다란귀,1
공장,1
직원,1
다이어트필요,1
덩치있음,1
세련된스타일,1
더크함,1
쫄깃,1
질투심,1
쫄쫄거림,1
야물딱진,1
농로에빠져있음,1
내복약,1
주사항생제,1
빨리낫음,1
응가누는,1
귀퉁퉁,1
절미빛깔의,1
윗송곳니마모,1
보들보들한털,1
입주위,1
주변민가없음,1
보이쉬함,1
길쭉한몸매,1
명량함,1
턱수염모양의,1
포인트털,1
앉음훈련,1
손훈련,1
토속적인외모,1
자극에민감하다,1
셰퍼드느낌,1
양아래,1
와일드,1
집나온,1
꼬리털길음,1
사전검사완료,1
보더콜리느낌,1
곰처럼,1
자랑,1
털결매,1
반할외모,1
미소녀,1
민첩한,1
털상,1
감정적,1
털뿜뿜,1
웨이브진털,1
엉덩이쪽털긺,1
뒷다리편향,1
싫행동,1
근육부족,1
아이라인돋보임,1
근처,1
비틀대는,1
질분비물,1
털이빽빽함,1
공손함,1
포도밭,1
컨테이너,1
사료식사,1
아롱거리는,1
꼭잡는,1
패셔니한,1
니삭스,1
쫄래쫄래,1
뱃늘어짐,1
입가씰룩함,1
귀가접혀있음,1
강서구호,1
세모귀,1
주름턱,1
인도적처리,1
수의사소견,1
두꺼운꼬리,1
붉바탕,1
살랑살랑한꼬리,1
반려견생활,1
엄마품그리운,1
말랑한사료,1
복실함,1
발부분,1
발패드손상,1
동그란,1
꼬리끝짝말림,1
백구종류,1
끝처짐,1
자리,1
청진상태,1
탐스러운꼬리,1
여우상외모,1
보호소생활,1
가만히,1
앞발깡총,1
송곳니돌출,1
폐질환,1
고정,1
배부름,1
부정맥,1
예후,1
몸을가누지못함,1
파리알,1
양후지턱,1
보들보들한,1
송곳니문제,1
병원예정,1
형제같음,1
물씬,1
도시적인,1
천사같음,1
떠돌아다님,1
다리꼬리털김,1
포실한털,1
사납지않음,1
전신황달,1
우측송곳니깨짐,1
심한야울,1
선량함,1
녹음,1
털빗질,1
털관리필요함,1
엄마,1
왼송곳니빠짐,1
털종류,1
털런,1
사납음,1
위생,1
주차장에나가지않음,1
검점특징,1
희망,1
외출,1
빠른대응력,1
으릉거림,1
새뽀얀,1
스케일링,1
이빨드러남,1
다수와함께있음,1
가출로보임,1
발목,1
변심함,1
똥덩어리,1
자존감,1
발핥음,1
모찌함,1
구름모양코,1
매일빗질필요,1
다섯,1
오른귀밑부분,1
동네생활,1
검사,1
레어,1
산속돌아다님,1
발발感,1
애처로운느낌,1
코딱지,1
양무릎,1
오래됨,1
징이박혀있음,1
산타분장,1
짧게밀린등,1
엉뚱함,1
검콧수염,1
코밑,1
새침함,1
독수리,1
볼록한배,1
집나온느듯함,1
집안개,1
레불루션,1
힘이되어줌,1
참하,1
민들레모양,1
만발함,1
엄청좋아함,1
견고한,1
혼나,1
귀끝모양,1
귀가다른모양,1
매너밸트,1
기저귀고정끈,1
자국,1
치아관리뛰어남,1
털매끈함,1
오리그림,1
붙임성,1
대존예,1
쓸린,1
잭러셀닮음,1
포텐션,1
다리끝,1
가늘고,1
여우상의,1
골격,1
혓바닥,1
우안사시,1
빠른,1
실크빛,1
산속,1
토실,1
하양패턴,1
까망몸,1
기본백신접종,1
털량,1
촉감,1
감정적인,1
사굌자,1
탈출병,1
외모출중,1
위아래앞니,1
꼬리짝말림,1
엄마상,1
졸개,1
부분적으로긴털,1
강력함,1
주인을알아차림,1
태어난,1
미약한,1
우후지불편,1
낙엽붙음,1
왼볼입가쪽,1
일부이빨결여,1
웨이브진,1
성기노출,1
귀끝털,1
새침하,1
대세,1
관리가잘된,1
선명한,1
고생,1
산적함,1
아랫송곳니없음,1
찌꺼기,1
씻김,1
복지센터,1
붓모습,1
특별한발가락털,1
모범,1
쓰레기주움,1
돌진함,1
뛰기를잘함,1
종기몇개,1
기대,1
짐승,1
위험,1
클램핑장,1
품위,1
밤송이유사함,1
당돌함,1
양옆휨,1
복실복실함,1
털이많이엉켜있음,1
막내느낌,1
염료묻음,1
둥글,1
근질근질,1
등부위교상,1
의지하는,1
혀나와있음,1
패셔너블,1
바우와우스타일,1
입이벌어짐,1
쪼그만,1
조절,1
근육적,1
안정성,1
푸근함,1
날쌘,1
부어있음,1
목꺽임,1
사상충의심,1
개춘기,1
입가에손대기싫어함,1
마음열림시간필요,1
늘씬체형,1
입주위검털,1
거동불편,1
기름지지않음,1
스킨십을좋아함,1
안정,1
머즐까짐,1
양심의가책,1
일반적X,1
운동제한,1
보들한털,1
희뇨,1
케이지거부,1
꼬리미달림,1
송곳니있음,1
체형이탄탄함,1
잘키움,1
깨비풀붙음,1
곰돌이코,1
힘센,1
단단한체형,1
쭈글이,1
자신보호,1
건치미,1
붙어있음,1
이국적,1
새까만,1
앞안보임,1
입술털,1
날아다님,1
손잘줌,1
앉기훈련됨,1
핑꾸입술,1
양발로걷는,1
포근한,1
소듕함,1
발라당함,1
핏불,1
자기주장강함,1
오남잉,1
신비함,1
반달곰스톼,1
꼬리침,1
늑대,1
입모양,1
동그란코,1
뽀뽀를부르는입술,1
짜장묻힌입주변,1
기형,1
짝비틀댐,1
정확한나이어려움,1
까망까망,1
발가락결핍,1
몸바깥으로향함,1
예후나쁨,1
복수과다,1
응가,1
친절,1
벙어적,1
우전지어깨,1
혼나다경험,1
으릉거리다,1
가까이,1
싫어하다,1
지정거리,1
친절함,1
몸끈끈이,1
털빽빽,1
양안각막,1
이빨드러,1
앞니유실,1
주인있음,1
앞다리들고있었으나현재는없어,1
척추뼈만져짐,1
사진찍다,1
코붉음,1
숨다,1
반반닮음,1
무심한,1
분위기있는,1
느낌적인,1
빅뱅GD와연관,1
추종적인,1
송곳니끝깨짐,1
꼬리다듬기,1
백지같,1
초극단모,1
게슴츠레함,1
미견됨,1
퐁상퐁상하다,1
어미동반,1
필수,1
수면,1
앞쪽아랫니없음,1
등쪽뾰루지있음,1
웃음자아,1
발톰,1
주인을찾음,1
단아함,1
온숨,1
몸쪽심함,1
아이돌,1
너부리,1
포도맛,1
까망이,1
항문낭,1
리듬,1
물개닮외모,1
송곳니덜빠짐,1
남아있음,1
입벌림싫어함,1
귀이상,1
청력저하,1
교감능력뛰어남,1
눕눕부비,1
재미있는,1
흔들리는꼬리,1
언더샷,1
당당함,1
보습,1
뽀얌,1
귀에문제,1
달리기빠름,1
카라비너,1
앵무새닮음,1
왼쪽귀안접,1
코부홍,1
타협적,1
진료,1
이민간함,1
잘사는것,1
꼬리가둥글,1
산유리,1
새출발,1
공쥬,1
촘촘한털,1
애틋함,1
허스키스러움,1
털복사기,1
털민들레홀씨패턴,1
락하지않음,1
민들레홀씨,1
귀부분털,1
애타게,1
왼쪽뒷다리확인필요함,1
아이들,1
뽀삐,1
락처확인불가,1
침많음,1
상남자,1
독특한털,1
우아한,1
놀림을좋아함,1
사나이느낌,1
아이컨택우수,1
맴찢,1
우전지굳,1
전지,1
달래기쉬움,1
삐삐,1
거의이가없음,1
목욕받음,1
드러눕는걸좋아함,1
몸집,1
상해,1
뛰어다님,1
호피,1
모델,1
가스참,1
복실복실한털,1
나이어림,1
포동,1
몸숨김,1
잔망스러움,1
막내상,1
엄도심,1
생식기질환,1
장발,1
다른강아지를좋아함,1
뽀뽀,1
안쓰러움,1
애절하다,1
보호심,1
번치,1
떠돌아다닌,1
송곳니만남,1
귀털더긺,1
배검,1
중학생적합,1
고급지고,1
고질적인,1
몸길이에비해다리짧음,1
솜뭉치,1
외모갑,1
안와농양,1
앞니흔들거림,1
변화제,1
직장탈봉합처치,1
높콧대,1
양다리,1
꼬리끝,1
달콤한,1
튀어나옴,1
털나쁨,1
스트레스완화,1
기본지시어훈련없음,1
오른아래송곳니,1
호전적,1
전후지찰,1
털물지않음,1
앞니턱튀어나옴,1
목청,1
이동욱스러움,1
도토리,1
묶임경험,1
갱신,1
목태,1
좌복부,1
양후지움직임,1
좌안시력,1
항문주변털,1
발끝털정돈,1
사냥본능,1
굳센,1
막내,1
다인가구적합,1
케어가필요한,1
짝짓기선호,1
오드아이,1
꿈치,1
즐거운,1
젠틀함,1
장치,1
왼무릎,1
털스카프,1
선하,1
세련됨,1
배볼록함,1
무릎강아지,1
말많음,1
양발,1
발바닥손상,1
털자른,1
흔들기,1
초등이상자녀적합,1
천문열려있음,1
뚠뚠한머즐,1
하얗음,1
견제,1
주사,1
지간염,1
안내염,1
우후지경,1
인식표X,1
프로트라인,1
거즈엉망,1
드레싱필요,1
발바닥패드,1
방광파열,1
목주위털눌림,1
내원,1
고질소혈증,1
캣우먼,1
팡팡터짐,1
표현,1
신비로운,1
말귀이해,1
발맞춤,1
짜장가득,1
발목돌아감,1
