이름,견종,나이,들어온 날짜,체중,소개동영상,입양상태,성별,특징
모야(입양확정-동대문센터),믹스,0(세) 4(개월),2024-10-10,3.4,https://youtu.be/dLC5bdfxqeQ,P,https://youtu.be/dLC5bdfxqeQ,"[ 입소 히스토리 ]지난 6월에 강북구 애니멀 호더로부터 약 80여 마리의 개들이 구조되었고,그 중 20여마리 아이들이 총 5차례에 나누어 동대문 동물복지지원센터에 입소하였습니다.전주인은 수십 마리의 아이들을 중성화 수술도 하지 않은 채 방치하였고,그 결과 개체수는 80여 마리까지 불어나 걷잡을 수 없게 되었습니다.좁은 공간에서 뒤엉켜 자란 아이들...구조 당시 아이들은 관리를 받지 못해 악취가 심했고, 많은 아이들이 심장사상충 등 질병에 노출되어 있었습니다.사람에 대한 경계도 심해 짖거나 구석에 가서 숨는 등 대부분 무서워하는 모습을 보였습니다.모두 사람의 손길을 타지 않은 친구들이며, 손만 봐도 지레 겁을 먹는 아이들입니다.이런 아수라장 속에서 저희 동대문 센터를 비롯하여 여러 동물보호단체 및 시민분들이 도움의 손길을 뻗었으며개중 몇몇은 새로운 가족을 만난 개체들도 있습니다.그러나 남은 아이들은 구조되었음에도 불구하고 갈 곳이 없어 결국 구조된 장소에 보호처를 마련하였고,여전히 많은 아이들이 그 곳에서 보호받으며 새로운 가족이 오길 기다리고 있습니다.[ 모야는요, ]조용히 곁에 머물러 줄 특별한 친구, '모야'모야는 겁이 많고 소극적인 성격을 가지고 있지만, 그 누구보다도 귀여운 외모와 맑고 투명한 눈동자가 매력적인 친구입니다.모야는 나야의 자견으로, 엄마와 닮아 조용하고 얌전한 성격을 가지고 있으며, 식욕이 왕성해 밥을 맛있게 잘 먹는 아이예요.하지만 아직 사람의 손길에 익숙하지 않아, 조심스럽게 다가가 주는 배려가 필요합니다.모야는 탈모 증세가 있어 털이 풍성하지 않은 편이지만, 그 덕분에 더욱 섬세하고 보드라운 손길로 돌봐주고 싶게 만드는 아이입니다.손길에 대한 두려움이 있지만, 시간을 들여 기다려주면 조용히 다가와 옆에 자리 잡고 있는 모습을 볼 수 있어요.이런 모야의 소극적인 애정 표현은 세상 누구에게도 없는 따스함을 안겨줍니다.특히 쓰다듬어 주는 걸 좋아해 천천히 손길을 내밀면 안심하고 기대는 모습을 보여주곤 하죠.하지만 갑작스러운 소리나 빠른 움직임에는 놀라는 경향이 있어 천천히 접근해 주는 것이 중요해요.모야는 아직 사람과의 소통이 낯설고, 새로운 소리에 민감하게 반응하는 모습을 보입니다.그래서 앞으로 소리에 둔감해지는 훈련과 다양한 행동을 통해 자신감을 쌓는 사회화 교육이 필요해요.새로운 환경에서 적응할 때까지는 보호자의 인내와 따뜻한 배려가 무엇보다 중요합니다.그럼에도 불구하고 모야는 조금씩 마음을 열고 보호자 곁에 천천히 다가와 주는 모습을 보여줍니다.구석에 숨어 조용히 세상을 바라보는 듯한 모야지만, 그 속에는 깊은 애정과 따뜻함이 담겨 있어요.모야와 함께할 새로운 가족이 된다면, 그 조용하고 순수한 마음을 누구보다도 깊이 느낄 수 있을 것입니다.모야에게는 평생의 사랑과 신뢰를 나눌 새로운 가족이 필요합니다.모야를 진심으로 이해하고 천천히 다가가 함께할 준비가 되어 있다면, 모야는 당신에게 평생 동안 소중한 친구가 되어 줄 거예요.사랑스런 모야의 평생가족을 기다립니다.네이버 카페에서 모야의 좀 더 다양한 모습을 만나볼 수 있어요: https://cafe.naver.com/seoulanimalcare/7447"
마크(마포센터),스피츠,5(세) 6(개월),2024-05-22,6.42,https://youtu.be/yoM-LIxuT3g,P,https://youtu.be/yoM-LIxuT3g,"젊잖고 예의바르며 착한 스피츠!잘생긴 흰둥이  강아지 마크랍니다^^기본 패드배변도 어느정도 할 줄 알고 수컷이라서 살짝 마킹도 하지만, 패드에 마킹도 잘해서산책과 패드배변 훈련으로 관리 가능합니다.~:)기본 이미용도 매우 잘 해요~기본 지시어도 잘 따라요!엉킨 털을 빗거나 발톱을 자를때도 공격성없이 지긋히 바라보는 마크랍니다~미용 자원봉사자님께서도 너무 착하게 미용받았다고 칭찬일색!다만 다른 낯선 강아지들이 다가오면 으르르하는데 공격성으로 으르르하는게 아니라다가오지 말라는 경고로 살짝 해요~(센터에서 적응하면서 으르르 경고도 줄어들고 있습니다~:)오랫동안 시보호소에 있으면서 예민해져서 그럴수도 있고,낯선 강아지들에게 어색해서 그럴수도 있지만,워낙 성격이 좋고 센터의 다른 강아지들과도 잘 적응하는 바 센터에 있으면서 사회성 훈련하면 크게 문제 없을 것 같습니다 ^^낯선 사람과도 어색함없이 간식도 잘 받아먹고 산책도 잘하고~중성화 수술이 이미 되어 있던 마크는 입양후 바로 가정에 적응할 수 있어요.털빠짐이 심한 견종에 속하는 스피츠입니다.털빠짐에 예민한 가정의 경우 꼭 병원진료를 통해 신중하게 입양신청 부탁드립니다.영유아 이상의 어린 자녀의 가정, 또는 처음 반려견을 맞이하는 가정,사회성이 좋은(너무 적극적으로 들이대는 강아지가 아닌) 반려견 가정 등 적합합니다.스피츠 견종의 도도한 까칠함이 워낙 유명하지만, 우리 마크만은 그렇지 않아요~착하다고 쓰담 쓰담에 폭 안기는 애정 넘치는 애교까지 지닌 친구랍니다.사랑스러운 백설기 마크의 평생 가족을 기다립니다.  아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.  마크의 다양한 사진은 카페클릭!입양대기동물(마포센터),서울동물복지지원센터 : 네이버 카페 (naver.com)서울동물복지지원센터 공식 카페 https://cafe.naver.com/seoulanimalcare"
하티(입양확정-동대문센터),믹스,0(세) 6(개월),2024-08-08,5.8,https://youtu.be/g2osejw3JAw,P,https://youtu.be/g2osejw3JAw,"하티는 콩자, 금동이, 밤비와 같은 애니멀호더에게서 구조되어 온 아이예요.같이 입소한 베니, 베리와 동배로 추정됩니다.입소 당시 모두 사람의 손길을 타지 않은 친구들이며 손만 봐도 지레 겁을 먹는 아이들이었습니다.검은색과 갈색의 털이 조화로운 특징이자 매력이에요.하티는 활력이 넘치고 사람을 무척 좋아하는 강아지예요.식욕도 좋아서 사료를 주면 와구와구 맛있게도 먹어요.센터에 처음 입소했을 때 손만 닿아도 소리를 지를 정도로 사람을 무서워했었는데,현재는 많이 나아져서 센터 선생님들을 졸졸졸 따라다닌답니다ㅎㅎ세상의 중심, 관심받는 걸 좋아해요.말이 조금 많은 편이에요.(마찬가지로 센터 입소 당시에는 소심한 모습만 보여서 전혀 몰랐어요...)하티는 수십 마리가 좁은 공간에 같이 있던 환경 속에서 태어나 자랐어요.본 모습이 밝고 활발한 아이인데, 환경으로 인해 주눅 들어 살았으리라 생각해요.처음 보는 사람과는 낯을 가리고 어색해하기도 하지만친해지면 꼬리도 흔들고 스킨십도 받아줘요.아직 어리기에 모르는 것도, 겁도 많지만, 한편으론 호기심도 많은 아이랍니다.사랑스런 하티의 평생가족을 기다립니다.네이버 카페에서 하티의 좀 더 다양한 모습을 만나볼 수 있어요: https://cafe.naver.com/seoulanimalcare/7118"
닝구(마포센터-임시보호가능),믹스,3(세) 9(개월),2024-02-22,5,https://youtu.be/Ut7-YfdYk9M,N,https://youtu.be/Ut7-YfdYk9M,"약간은 소심하지만 곧 친해지기 쉬운~ 아기 얼굴을 한 똥똥한 몸매의 발바리예요~센터의 별명은 난닝구~순하면서 착한 댕청미를 자랑하는 우리 닝구는 엄살이 약간 심한편이랍니다 ^^살짝 부정교합이 있어 이가 보이면 화내는 것처럼 보이지만, 사실은 겁도 많고 착하고 순둥 순둥한 꼬리 뱅뱅 누렁이!배가 빵빵해서 센터 입소했을 때 임신이 아닌가 걱정 아닌 걱정을 했지만, 임신은 아닌걸로 판정됐어요!낯선 곳에선 숨어있길 좋아하지만, 익숙해지면 이곳 저곳 누비며 간섭하길 좋아하는 오지라퍼랍니다 :)짧은 다리에 오동통한 몸매! 보면 볼수록 웃음이 나는 귀여운 아이라서 센터 직원들에게 웃음을 줘요.다른 강아지들과 크게 문제없이 지내기 때문에 이미 반려견이 있거나처음 반려견을 맞이하는 가정 등 어느가정과도 적합합니다.영유아를 제외한 가정에서도 어린 자녀와 함께 잘 지낼거예요.겁이 있는 아이라서 천천히 적응할 시간을 주시면 좋습니다.패드 배변 훈련중이며 아직은 잘 몰라요 ~산책도 전혀 안됩니다.ㅠ,ㅠ하나씩 알려주세요, 호기심은 많은 친구라서 오래지 않아 잘 할 수 있을 거예요!쓰담 쓰담하는 품에서 녹아든 듯 푹 안기는 아기 같은 아기 아닌 우리 닝구!앙증맞은 귀요미 닝구의 평생가족을 기다립니다.  아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.  닝구의 더 많은 사진과 영상들은 카페를 확인해주세요!카페 클릭!--&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)서울동물복지지원센터 공식 카페 https://cafe.naver.com/seoulanimalcare"
쵸이(마포센터),믹스,2(세) 5(개월),2024-10-10,3.51,https://youtu.be/z2An0MmzIfI,N,https://youtu.be/z2An0MmzIfI,"86마리 애니멀 호딩 견 출신으로 겁도 매우 많지만 호기심도 있는 귀여운 쵸이에요!겁이 매우 많아서 같이 입소한(같은 집 출신) 쵸파를 많이 의지해요(쵸파가 겁이 더더더 많아요).항상 둘이 붙어서 숨어있길 좋아한답니다.입양후에 천천히 집안을 적응할 수 있도록 시간을 충분히 주셔야 되며산책 역시 바로가 아닌 사람에게 의지할 때 가능합니다.(시끄러운 환경보다는 차분하고 조용한 환경이 적합해요)낯선 환경, 낯선 소리 모든게 무서운 쵸이예요.큰소리에도 도망가기 바쁘고 만지려면 밀당하며 우다다 도망가지만,간식을 좋아해서 간식을 주면 손으로 받아먹을 수는 있어요(익숙한 직원 한정).개에게 의지를 많이 하고 질투도 많아서 이미 반려견이 있는 가정이 더 좋아요.센터에서 조금씩 사람과의 관계를 배우고 있습니다.하나씩, 하나씩,아기 강아지를 가르치는 것처럼 알려주세요.털빠짐은 적은 편이며 아직 센터 적응이 다 안되서 밥도 잘 안먹고 있어요.입양후 밥을 잘 안먹을 수도 있으며 잘 안움직일 수 있어요.모두 겁많은 아이들이 할 수 있는 정상적인 패턴입니다. 조급히 생각하지 마시고 기다려주세요.패드 배변 훈련중이고, 공격성은 없어요.사람과 모든 행동에서 긴장을 하지만 시간이 지나면 천천히 좋아질 거예요.사랑스러운 쵸이의 평생 가족을 기다립니다.아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.쵸이의 다양한 사진과 영상, 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.카페클릭! -&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)"
희망(동대문센터),코리안숏헤어,0(세) 4(개월),2024-11-07,2.77,https://youtu.be/9l7BiKdvMvA,N,https://youtu.be/9l7BiKdvMvA,"이름처럼 늘 희망찬 하루를 보내는 활기차고 활달한 희망이입니다.장난감에 반응이 좋아서 집사 운동시키는 꼬맹이입니다.고양이답게 높은 곳에 올라가는 것도 좋아하고요,(높은 곳에 올라가면 집사가 애원해야 내려오기도 한답니다ㅠㅠㅋㅋㅋㅋ)꼬맹이답게 호기심도 많아 이곳저곳 탐방하는 것도 좋아해요.손길을 내밀면 온몸을 문지르며 바로 애교많은 모습을 보여주기도 해요.여기저기 겁 없이 활개치고 다니는 귀여운 장난꾸러기 그 자체인 희망이.개냥이라 배도 서슴없이 보여주는 아이랍니다!ㅎㅎ사람 보면 좋아서 애옹애옹 많이 울기도 해요. (네, 말이 많습니다..!)희망이는 사람 손길도 곧잘 타고, 또 혼자 두면 외로워하는 아이라서그만큼 사람과 함께 있는 시간이 길수록 좋아요.하루 중 집을 비우는 시간이 길다면 입양가족으로는 적합하지 않아요.다른 고양이들에게 호기심도 많고 같이 입소한 기쁨이랑 합사도 수월한 편이었어요.고양이 가정에 둘째로 입양하셔도 좋을 것 같아요!(희망이가 순한 성격이긴 해도 고양이 합사는 신중하게 접근해주셔야 합니다.첫째 아이의 성향 등을 포함하여 여러가지 요인들을 고려해보시고 신중하게 입양신청해주세요.)사랑스런 희망이의 평생가족을 기다립니다.네이버 카페에서 희망이의 좀 더 다양한 모습을 만나볼 수 있어요:https://cafe.naver.com/seoulanimalcare/7540"
테디(동대문센터),믹스,0(세) 3(개월),2024-10-14,3,https://youtu.be/jdsD8vJwiCw,N,https://youtu.be/jdsD8vJwiCw,"이렇게 귀여울 수가 있나 싶을 정도로 귀여움 과다인 꼬꼬마, '테디'.테디는 포천시 가산면에서 떠돌다 올해 9월에 구조된 아이입니다.입소 당시에 코로나 양성 판정을 받았고,구토와 설사로 기력이 떨어져 거의 누워있기만 했어요.현재는 치료를 받고 완치되어 건강한 상태로 돌아왔답니다!처음 봤을 때 아파서인가, 테디가 온순하고 얌전한 아이라고 생각했어요.하지만 코로나 완치 후 일반 보호실로 이동한 테디는 180도 달라진 모습을 보여주었어요!프로펠러처럼 정신없이 돌아가는 꼬리!온갖 곳을 누비며 전력질주로 달리는 에너지!!사람, 타견 가리지 않는 친화력!!!테디를 처음 본 사람들은 테디와 사랑에 빠지곤 해요.치명적인 매력덩어리거든요.검은 코와 엉덩이 양쪽의 검은색 털, 갈색의 처진 귀와 흰 셔츠의 단추 같은 눈코입.한눈에 보기에도 매우 귀엽고 사랑스러운 아이입니다.보호자에게 큰 사랑을 받으리라 직감했어요.센터에서 여러 사람들의 보살핌과 사랑을 통해 점차 자신감을 얻어 가고 있어요.식욕도 좋아서 사료를 주면 그 자리에서 와구와구 다 흡수합니다.현재는 타견과 마주하면서 퍼피 사회화 교육을 시키고 있어요.사람과 함께 성장해 나갈 가능성이 무궁무진한 친구예요.테디는 목욕도 아주 잘하고요, 손질이 필요한 모든 과정을 겸허(?)하게 받아들입니다.귀엽게 목욕을 마친 후, 털이 말끔하게 정돈된 모습을 보면 얼마나 사랑스러운지 몰라요.하지만 테디는 사람을 너무 좋아해서, 예뻐만 해주면 분리불안이 생길 수 있어요.그렇기에 보호자와의 관심과 애정 속에서 어느 정도의 단호한 교육도 필요합니다.테디는 강아지를 처음 키워보는 가정에도 적합하고요,합사도 수월한 편이라서 강아지 가정에 둘째로 입양하셔도 좋아요.(테디의 합사가 수월한 편이어도, 현재 키우고 있는 첫째 아이의 성향 등을 포함하여 여러 가지 요인들을 고려해 보시고 신중하게 입양신청해 주세요.)아직 어려서 앞으로 얼마나 더 클지는 장담하지 못해요.(얼마나 클까요? → 저희도 몰라요ㅠㅠ)(몇 키로까지 클까요? → 저희도 알고 싶어요ㅠㅠ)이가 날 시기라 이갈이도 심상치 않을 거예요.입양을 고려하시는 분들은 새끼 강아지의 성장과정에 대해서 충분히 공부하시고 임해주시길 바랍니다.사랑스런 테디의 평생가족을 기다립니다.네이버 카페에서 테디의 좀 더 다양한 모습을 만나볼 수 있어요: https://cafe.naver.com/seoulanimalcare/7542"
채리(마포센터),믹스,8(세) 2(개월),2024-10-15,4,https://youtu.be/TaZu5SQnMWw,N,https://youtu.be/TaZu5SQnMWw,"86마리 애니멀 호딩 견 출신으로 사람을 좋아하지만,살짝 겁도 있는배짱 큰 강아지 채리예요.이미 앞니도 빠져있고, 나이에 비해 관리가 안되서 치아 상태가 더 안좋습니다.(발치및 스켈링 완료)-치아가 좋지 않아 천천히 밥을 먹으며 부드러운 음식을 좋아해요.커다란 눈과 순하고 사랑스러운 미소를 지닌 우리 채리.간식을 너무 너무 좋아하는 아이예요~ 간식 하나면 금새 친해집니다.하지만, 아직 낯선 공간에서는 살짝 무서운지 밀당하며 도망가기도 해요.식분이 있으며 털빠짐이 심한 아이입니다.털에 예민한 경우 입양 신청 전 충분히 고민해주세요.다른 강아지가 있던지 없던지 신경 쓰지 않고 호기심이 많은 편이라 이곳 저곳 냄새맡으며 돌아다니길 좋아하죠.자유 부인처럼 자유롭게 돌아다니길 좋아한답니다~ㅎㅎㅎㅎ짧은 다리로 오종종~ 긴허리를 지닌 닥스 믹스~인형 무더미 속에 있으니 누가 인형이고 누가 채리인지 모르겠어요!  :)폭신 폭신 방석을 좋아하는 여느 강아지와도 다르지 않아요.건강할 시간보다 앞으로 관리할 시간이 더 필요할지도 모르는 나이예요.하지만, 아직은 반려견으로 사람과 함께 행복할 시간이 더더더 중요한 친구기도 하죠.좁디 좁은 공간에서 수십마리 강아지들과 부등켜 제대로 된 밥조차 먹지 못했던 우리 채리.깨끗하고 따듯한 공간이 있다는 것과세상에는 맛있는 냄새나는 맛있는 음식이 많다는 것신기하고 재미난 세상 밖 풍경을 보여주실 평생 가족을 기다립니다."
라면(임시보호가능-마포센터),푸들,6(세) 8(개월),2024-04-03,3.93,https://youtu.be/GzhLYjKM2sI,N,https://youtu.be/GzhLYjKM2sI,"사람을 너무 너무 너무 좋아하는 뽀글이 친구 라면이예요~센터 입소당시 꼬리와 군데군데 피부가 좋지 않았고 방광염이 있어 치료 완료했습니다.(그래서 빡빡이 미용했는데 지금은 뽀송하니 털이 많이 자랐어요~*아토피와 알러지가 있는 듯하여 처방식 사료 급여중입니다.푸들 친구답게 분리불안은 기본 옵션이랄까요??ㅎㅎㅎㅎ짖음이 있으므로 방음이 잘 되지 않는 가정이거나 시끄러운 환경은 부적합해요.혼자되지 않게 집에 사람이 상주하는 가족이 있다거나 강아지 유치원에 보내주시면 좋을 것 같아요.센터의 생활이 힘든지 스트레스성 장염이 있어 관리중입니다.패드배변 훈련중이며 수컷이라서 마킹이 있어요.애교면 애교! 어디든지 사람만 있다면 나는 좋아 나는 좋아 너무 좋아~ 하는 친구예요.자동차도 잘 탄다고 합니다 :)다른 강아지들과 대면 대면 그다지 관심 없어요.처음엔 센터에 적응하지 못해서인지 많이 울고 힘들어했지만 4개월이 지난 지금 (24.08) 혼자 센터에 있어도 짖지 않고 장난감을 갖고 놀거나 이불(방석)위에서 자요.다만, 갇혀진 공간에서는 많이 짖습니다.하나뿐인 보호자의 사망으로 센터에 입소한 라면은 사람에 대한 애정이 넘쳐요.쇼파를 좋아해서 쇼파에 누워있거나, 쇼파에 앉은 사람의 허벅지에 머리를 대고 자는 등사랑스러운 모습이 넘치는 아이랍니다:)활발하고 명랑한 라면~기본훈련도 잘 따르고 성격은 급하지만 그만큼 쾌활한 친구!간식 좋아하고 밥도 잘먹고~ 장난감도 좋아하고~ 털이 자라면서 뽀글 뽀글 라면이 되었어요ㅎㅎㅎ착하고 여린 마음을 지는 라면의 마지막 가족을 기다립니다.*장기체류 임시보호 가능합니다.아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.라면의 많은 영상과 사진이 궁금하다면 카페 클릭!--&gt;입양대기동물(마포센터),서울동물복지지원센터 : 네이버 카페 (naver.com)서울동물복지지원센터 공식 카페https://cafe.naver.com/seoulanimalcare"
경자(마포센터),믹스,3(세) 10(개월),2024-01-11,5.54,https://youtu.be/47Esy9gr9DM,N,https://youtu.be/47Esy9gr9DM,"경자는 지난 겨울 순한 얼굴에 두꺼운 목줄을 찬 채 발견되어 동물보호센터를 거쳐 올해 1월에 마포센터에 들어온 아이입니다.  길에서 생활을 하였지만 심장사상충 감염도 없어 곧 입양가족을 만날 거라고 기대를 가졌지요. 하지만 예방접종과 중성화 수술를 준비하던 중 경자에게 예기치 않은 경련이 일어났습니다. 온 몸을 떨며 경련을 하는 경자를 안아 진정시키고, 2차 병원으로 옮겨 원인을 찾았지만 원인을 찾을 수 없었습니다. 경자처럼 원인을 특정하지 못하는 경우를 '특발성 간질'(Idiopathicepilepsy)이라고 합니다. 현재는 항경련제를 먹으면서 주의관찰하고 있습니다. 경자는 밥도 잘 먹고 다른 강아지들과도 사이좋게 지내며, 자거나 생활하는 곳에는 배변을 하지 않는 깔끔쟁이어서 패드 배변도 잘합니다. (다만, 바로 배변을 누지 못하고 누기까지 5분여정도 걸립니다.) 경자는 자기 이름도 알아듣는 똑순이이고, 평소에는 차분하고 얌전하지만 사람 품에 안기길 좋아하는 껌딱지이기도 합니다. 또, 직원들이 바삐 일을 하다 보면 경자는 그 순한 눈으로 자신을 바라봐 줄 때까지 가만히 우리를 바라보며 기다리는 순둥이랍니다.  평생 약을 먹어야 하고 경련으로 인해 여러 주의관찰이 필요하지만간질이라는 질환 관리 방법을 아시는 가족을 만난다면 경자도 가족에게 힘이 되어주고 사랑을 주는 반려동물이 될 수 있습니다.  혹시나 혼자 있을 때 경련이 일어날 수 있어 오랜 시간 집을 비워두시는 가족보다는 경자와 함께 하는 시간이 긴 가족이 적합합니다.우리 경자를 품어주실 가족을 기다립니다. (입양홍보를 위해 많은 공유 부탁드립니다.) &lt;강아지 간질 : 경련으로 전신이 굳고 의도치 않은 반복적인 떨림이 관찰되는 신경계 증상입니다.원인은 대사성 질환 또는 중추신경계 문제로 나누어 볼 수 있으며, 이 중 중추신경계인 뇌 신경세포에 이상이 생겨서 반복적인 경련 증세를 보이는 것을 '간질'이라 부른다.원인으로 외상이나 뇌 질환 등을 꼽을 수 있습니다. 원인을 특정하지 못할 경우 '특발성 간질'(Idiopathicepilepsy)이라고 부릅니다.특발성 간질은 항경련제를 투여하여 증상을 완화시킬 수 있지만 지속적으로 관리하여야 합니다.&gt;출처: [네이버 지식백과] 강아지 간질 [Puppy Epilepsy] (강아지 질병백과, 벳아너스(VET HONORS)) 입양문의 02-2124-2839  서울동물복지지원센터 마포센터 아이들과 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.경자의 다양한 사진과 영상, 자원봉사자님과의 다양한 일상은 네이버 카페 자원봉사 후기 게시판을 통해 확인 가능합니다.카페클릭! -&gt;서울동물복지지원센터 : 네이버 카페 (naver.com)"
뽀야미(구로센터),코리안숏헤어,0(세) 5(개월),2024-11-02,1.96,https://youtu.be/3SbzY1r-6hg,N,https://youtu.be/3SbzY1r-6hg,"[ 성격 ]뽀야미는 누워서 뒹굴뒹굴 거리는 것을 좋아하며 사람에게 친화적인 성격입니다.앙증맞은 외모답게 애교도 많으며 만져주면 얼굴을 부비며 친근하게 표현합니다.​낯을 가리는 성격으로 차분한 편이고 사람 무릎에 앉아 시간을 보내는 것도 좋아하는 편입니다.​또래 고양이들과는 무난하게 잘 지내는 편으로 조심스럽게 다가가는 성격입니다.​캣타워 같은 높은 곳에 올라가 아래를 내려다보며 구경하는 것도 좋아하며숨숨집에 들어가 포근하게 휴식을 취하는 일도 좋아합니다.​새로운 환경에 적응하는데까지는 시간이 조금 필요한 편이라서입양 초반에는 숨숨집이나 구석에 숨어서 잘 나오지 않으려고 할 수도 있으나,편안한 환경을 조성해주면 애교 많은 성격을 쉽게 보여줄 것 같습니다.​​깃털 장난감, 움직이는 장난감을 좋아하고 눈을 마주치거나 만져줄 때 골골송을 불러 주며 좋아합니다.​발톱, 빗질 등 관리 시에도 얌전한 편이지만불편한 것이 있으면 하악 거리며 싫은 표현을 하기도 합니다.하지만 하악 거리기만 할 뿐 물거나 할퀴는 등의 행동은 하지 않습니다.​하루종일 뛰어 다녀도 지치지 않는 체력을 가지고 있어짧은 시간 자주 자주 놀아 주어 에너지를 소비해 주는 것이 좋을 듯 싶습니다.​조심성이 많은 성격으로 적응기간이 길어질 수도 있어서뽀야미가 적응하기까지 천천히 기다려줄 수 있는 가정에 어울립니다.​​(고양이를 키우고 있는 가정은 현재 집에 있는 고양이가다른 고양이와 어울릴 수 있는 성격인지 고려해보시고,합사 방법에 대해 충분히 공부한 후 신청해주시기 바랍니다.)​​​서울고양이입양카페 입양 신청 방법 ▼https://cafe.naver.com/seoulcatcafe/787​​[ 서울고양이입양카페 인스타그램 ]ID : seoulcatcafe주소 : https://www.instagram.com/seoulcatcafe/​​[ 서울고양이입양카페 트위터 ]ID : @seoulcatcafe주소 : https://twitter.com/seoulcatcafe​​​​입양 상담 및 문의 전화 번호 : 02-2636-7650, 02-2636-7649, 02-2636-7645​"
뱅글(동대문센터),코리안숏헤어,2(세) 7(개월),2024-04-12,3.1,https://youtu.be/qX1CjoXDEfI,N,https://youtu.be/qX1CjoXDEfI,"[ 입소 히스토리 ]싱글, 벙글, 방글, 뱅글 네 아이는 고양이 쉘터에서 지내던 아이들이에요.30마리의 고양이가 함께 지내며 관리를 받던 곳. 그러나 보호자분의 사망으로 인해 아이들은 갈 곳을 잃게 되었어요.불행 중 다행히 30마리의 아이들 중 26마리는 주변 분들의 도움으로 모두 입양을 가게 되었고,지난 4월 중순, 나머지 네 마리(싱글, 벙글, 방글, 뱅글)가 동대문 센터에 입소하게 되었습니다.[ 뱅글이는요~ ]동대문 센터에 방문하였던 분들이 뱅글이를 볼 때 늘 물어보시는 말이 있어요.""뱅글이는 왜 프로필이 안 올라가나요?""네, 뱅글이는 지난 4월에 입소하여 3개월이 지난 지금에서 프로필이 올라간 아이에요.왜냐하면 뱅글이는 집중 치료가 필요한 아이였으니까요.뱅글이는 센터에 입소했을 당시 같이 입소한 다른 아이들에 비해 호흡이 불규칙한 모습을 보였어요.즉시 진행하였던 건강검진에서 아이가 두 가지 질병을 가지고 있다는 것을 알게 되었습니다.'칼리시 바이러스'와 '만성적 부비동염(축농증)'으로 인한 호흡기 증상.생소한 질병의 이름을 듣고 한참 예민해진 뱅글이를 보며 걱정이 이만저만이 아니었어요.고양이의 경우 예민한 아이일 수록 치료하다가 사람도 동물도 서로 다칠 수 있는 위험이 있거든요.하지만 뱅글이는 사람을 좋아하는 아이에요.바뀐 생활환경과 호흡기 증상이 있어 시작하였던 네뷸라이저 치료로 입소 당시에는 예민한 모습을 보였던 거였어요.알고보니 뱅글이는 사람한테 안기는 걸 좋아하는 애교가 정~말 많은 고양이에요.궁디팡팡을 하면 엉덩이가 하늘을 찌를 듯이 높아져요.주사를 넣고 약을 먹이는 등 처치를 해도 사람 손길이 그저 좋은지 골골송을 불러요.숨 쉴 때도 귀여운 골골 소리가 나요.뱅글이는 가만히 앉아있으면 강아지 마냥 쪼르르 와서 무릎 위에 자리 잡고 앉는 무릎냥이에요.상자 속에 들어가 있는걸 정말 좋아하기도 하는데요, 하루 종일 들어가 있을 때도 있어요ㅎㅎ원하는 요구사항이 있으면 발목을 콕콕 찌르며 신호를 주는 똑똑냥 뱅글이.안겨서 눈을 맞추면 발바닥 젤리로 얼굴을 토닥토닥 해줘요♥(심쿵)♥앞서 말씀드렸던 것처럼 호흡기 증상이 있는 뱅글이는 가정에서 네뷸라이저 치료가 필요해요.(네뷸라이저는 많은 가정에서 호흡기 증상이 있는 반려동물에게 보호자가 사용할 정도로 쉽게 할 수 있는 치료에요.)가정용 네뷸라이저를 구매하여 환절기나 호흡기 증상을 보일 때에 사용을 해주셔야 합니다.(증상이 없을 때에는 굳이 사용할 필요는 없습니다!)필요시에는 동물병원에서 내복약도 처방받아 복용이 필요해요.보살핌이 필요한 뱅글이지만,뱅글이는 다른 고양이들과 다를 바 없어요.츄르를 좋아하는 미슐랭 입맛을 가졌고, 쓰다듬어 주는 것을 좋아하는 개냥이이며, 놀아주는 것도 좋아하는 장난꾸러기에요.게다가 기분이 좋을 때에는 우다다다 뛰어다니기도 합니다.뱅글이는 사람에게 의지하고 사람을 좋아할 줄 아는 아이에요.사람을 좋아하는 만큼 뱅글이와 많은 시간을 함께 해주실 수 있는 보호자가 필요해요.뱅글이는 24시간을 같이 있어줄 수 있는 보호자가 필요하며, 다른 고양이와의 접촉은 안 되기에 외동 가정에 적합한 아이입니다. (다른 개나 사람은 접촉이 괜찮습니다.)사랑스런 뱅글이의 평생가족을 기다립니다.네이버 카페에서 뱅글이의 좀 더 다양한 모습을 만나볼 수 있어요: https://cafe.naver.com/seoulanimalcare/6925"
